"","w","age"
"843",5000,57
"844",1800,34
"845",1650,54
"846",3400,52
"847",1990,50
"848",3900,43
"849",3500,32
"850",2900,42
"851",2100,40
"852",2800,30
"853",1950,31
"854",1800,51
"855",1650,55
"856",2800,28
"857",1500,49
"858",2100,37
"859",4000,49
"860",1900,51
"861",2500,50
"862",2300,55
"863",2000,56
"864",1860,51
"865",2200,48
"866",1750,24
"867",4000,56
"868",2500,49
"869",1700,45
"870",1500,40
"871",2500,58
"872",2200,30
"873",1800,62
"874",2500,66
"875",2500,40
"876",9000,61
"877",3000,56
"878",3100,28
"879",1920,48
"880",1900,64
"881",2300,38
"882",1921,53
"883",3500,25
"884",5000,55
"885",3100,54
"886",2900,32
"887",5500,26
"888",2200,58
"889",3000,39
"890",2500,38
"891",1800,57
"892",2800,52
"893",3500,39
"894",3200,40
"895",3800,48
"896",1600,40
"897",1900,47
"898",1900,44
"899",1600,60
"900",2200,52
"901",4500,45
"902",3000,38
"903",3200,44
"904",2400,48
"905",2100,21
"906",3600,45
"907",2800,28
"908",5000,48
"909",3000,52
"910",1920,49
"911",3500,62
"912",2600,55
"913",2000,25
"914",2000,23
"915",2150,56
"916",1900,49
"917",3500,46
"918",3500,25
"919",3200,58
"920",4000,45
"921",2200,36
"922",3500,34
"923",2500,36
"924",4000,51
"925",4000,60
"926",1500,61
"927",1900,52
"928",4000,48
"929",3500,66
"930",3000,37
"931",2600,40
"932",3500,53
"933",3600,39
"934",1800,49
"935",4000,50
"936",2400,53
"937",4600,48
"938",1800,36
"939",2600,62
"940",4000,60
"941",1500,22
"942",3000,61
"943",1921,36
"944",1930,58
"945",1800,56
"946",2500,40
"947",2700,44
"948",1878,47
"949",3000,58
"950",3700,33
"951",1900,22
"952",2000,35
"953",1900,23
"954",4800,43
"955",4500,50
"956",3500,45
"957",1900,27
"958",2400,27
"959",3050,47
"960",3000,50
"961",2500,56
"962",3000,35
"963",300,44
"964",3500,41
"965",2700,48
"966",2500,42
"967",4000,43
"968",1900,30
"969",2700,30
"970",2500,41
"971",2600,42
"972",1630,44
"973",1700,21
"974",8000,39
"975",1800,47
"976",3600,53
"977",4500,35
"978",3700,32
"979",2700,45
"980",2000,59
"981",4000,38
"982",1680,58
"983",3200,37
"984",8500,44
"985",4000,25
"986",10000,37
"987",2600,35
"988",2400,36
"989",2600,57
"990",2200,57
"991",2600,45
"992",8660,37
"993",1850,62
"994",2300,33
"995",2000,32
"996",7500,28
"997",2900,46
"998",2500,28
"999",3000,37
"1000",5000,44
"1001",1800,65
"1002",3000,66
"1003",4000,46
"1004",1940,48
"1005",3500,54
"1006",1800,53
"1007",2500,38
"1008",16000,65
"1009",3800,60
"1010",700,67
"1011",4800,35
"1012",2340,32
"1013",3000,33
"1014",2000,48
"1015",2500,48
"1016",4000,61
"1017",4400,42
"1018",3000,40
"1019",1900,22
"1020",1920,50
"1021",2000,38
"1022",2200,34
"1023",13000,30
"1024",3200,62
"1025",2500,23
"1026",3000,57
"1027",3200,41
"1028",2500,27
"1029",3600,32
"1030",2750,30
"1031",2700,41
"1032",2200,65
"1033",1900,61
"1034",2500,29
"1035",2800,33
"1036",2000,30
"1037",3000,46
"1038",2700,37
"1039",2200,51
"1040",4500,43
"1041",2200,32
"1042",3500,51
"1043",1430,50
"1044",2200,40
"1045",1900,44
"1046",3000,42
"1047",2800,54
"1048",4000,32
"1049",2000,38
"1050",2900,37
"1051",2650,62
"1052",1900,40
"1053",4000,54
"1054",2100,58
"1055",4000,36
"1056",340,53
"1057",4500,28
"1058",4500,64
"1059",5000,32
"1060",3300,46
"1061",4000,53
"1062",3500,38
"1063",2700,51
"1064",2000,26
"1065",5000,44
"1066",3600,27
"1067",4000,57
"1068",2600,57
"1069",3000,40
"1070",2100,29
"1071",4500,47
"1072",3300,52
"1073",2500,32
"1074",3000,37
"1075",4000,42
"1076",3710,36
"1077",2600,49
"1078",3100,24
"1079",3300,50
"1080",2800,48
"1081",2360,37
"1082",3100,48
"1083",2100,45
"1084",1900,23
"1085",10000,35
"1086",3100,32
"1087",2000,48
"1088",1800,20
"1089",3000,48
"1090",1200,37
"1091",2100,59
"1092",3000,34
"1093",2700,32
"1094",1800,39
"1095",2200,52
"1096",2200,43
"1097",6000,44
"1098",2700,43
"1099",2250,41
"1100",3700,39
"1101",2500,62
"1102",3700,41
"1103",2400,28
"1104",2890,53
"1105",2000,48
"1106",4500,57
"1107",3400,38
"1108",2800,40
"1109",5000,52
"1110",2100,39
"1111",2300,36
"1112",2350,58
"1113",1950,56
"1114",2700,29
"1115",6000,37
"1116",1800,58
"1117",3600,35
"1118",2600,62
"1119",8000,40
"1120",1900,30
"1121",4400,59
"1122",3000,31
"1123",2100,33
"1124",2500,37
"1125",2500,40
"1126",6000,41
"1127",2500,41
"1128",3500,54
"1129",6000,38
"1130",3100,36
"1131",2050,65
"1132",4500,47
"1133",2500,58
"1134",4000,54
"1135",3000,58
"1136",2000,58
"1137",1920,50
"1138",2500,30
"1139",2400,45
"1140",2500,23
"1141",3000,57
"1142",4000,35
"1143",5500,65
"1144",2500,42
"1145",2700,44
"1146",2100,63
"1147",1870,49
"1148",1900,27
"1149",2900,74
"1150",3100,37
"1151",2850,55
"1152",3250,61
"1153",4243,28
"1154",2100,34
"1155",1800,63
"1156",3000,52
"1157",1600,49
"1158",2100,33
"1159",2600,37
"1160",2600,56
"1161",4500,52
"1162",3000,60
"1163",2700,34
"1164",1960,47
"1165",4500,35
"1166",2800,42
"1167",2500,40
"1168",1900,56
"1169",6000,46
"1170",2500,60
"1171",3000,50
"1172",2000,43
"1173",2800,31
"1174",2500,40
"1175",2500,44
"1176",2400,45
"1177",2500,28
"1178",4000,52
"1179",2500,50
"1180",3000,42
"1181",3200,50
"1182",3000,22
"1183",4000,57
"1184",3000,57
"1185",2400,49
"1186",2100,36
"1187",2500,28
"1188",1021,55
"1189",3500,53
"1190",3700,33
"1191",2300,20
"1192",2000,47
"1193",2400,43
"1194",5200,52
"1195",3000,42
"1196",2150,40
"1197",5600,64
"1198",1500,33
"1199",3500,54
"1200",3300,32
"1201",600,27
"1202",4000,58
"1203",2500,32
"1204",2000,59
"1205",5000,29
"1206",2000,27
"1207",2150,58
"1208",2700,55
"1209",2000,51
"1210",2000,20
"1211",1850,24
"1212",5500,45
"1213",2500,34
"1214",4000,34
"1215",1930,27
"1216",3000,54
"1217",2100,21
"1218",2600,25
"1219",2000,26
"1220",2100,61
"1221",3500,37
"1222",1600,35
"1223",3400,47
"1224",3000,48
"1225",2200,31
"1226",2600,48
"1227",1950,30
"1228",1500,34
"1229",2400,57
"1230",2000,29
"1231",3500,56
"1232",2700,31
"1233",2500,65
"1234",2700,50
"1235",3000,40
"1236",2500,31
"1237",2500,39
"1238",1920,42
"1239",3800,45
"1240",3900,34
"1241",2200,54
"1242",4000,42
"1243",1800,43
"1244",3000,30
"1245",5000,47
"1246",2300,40
"1247",2100,27
"1248",700,29
"1249",2250,55
"1250",3500,48
"1251",3500,32
"1252",3000,37
"1253",6500,47
"1254",2300,37
"1255",4000,61
"1256",1779,41
"1257",2100,52
"1258",3500,34
"1259",5500,44
"1260",4600,27
"1261",1500,64
"1262",2600,57
"1263",2500,34
"1264",4000,27
"1265",2500,32
"1266",1650,33
"1267",5000,52
"1268",1920,54
"1269",900,73
"1270",3700,34
"1271",3500,46
"1272",4400,39
"1273",2300,23
"1274",1462,35
"1275",3000,30
"1276",2700,50
"1277",5000,33
"1278",4000,34
"1279",2030,32
"1280",2100,59
"1281",2000,39
"1282",3100,48
"1283",2100,40
"1284",2500,28
"1285",1600,59
"1286",3500,34
"1287",2400,36
"1288",2300,55
"1289",3800,41
"1290",3300,33
"1291",1950,57
"1292",4200,39
"1293",4200,27
"1294",1000,74
"1295",5000,26
"1296",2500,51
"1297",2070,25
"1298",3000,53
"1299",2000,51
"1300",3000,40
"1301",3200,45
"1302",1800,21
"1303",4800,51
"1304",1800,29
"1305",4000,46
"1306",1650,20
"1307",3000,56
"1308",1900,62
"1309",2000,35
"1310",1900,30
"1311",3000,50
"1312",1700,46
"1313",2800,42
"1314",1930,43
"1315",2000,30
"1316",1900,23
"1317",4000,31
"1318",2200,39
"1319",6000,50
"1320",3000,27
"1321",3000,59
"1322",3400,46
"1323",2150,21
"1324",3500,35
"1325",1800,39
"1326",4000,38
"1327",1960,41
"1328",3500,46
"1329",3200,32
"1330",2000,22
"1331",3000,36
"1332",5400,52
"1333",2000,22
"1334",1900,58
"1335",4000,40
"1336",600,41
"1337",4000,40
"1338",1900,27
"1339",3200,56
"1340",3000,63
"1341",2800,44
"1342",2850,31
"1343",3000,57
"1344",2800,61
"1345",4200,45
"1346",1900,56
"1347",2100,53
"1348",3000,59
"1349",3000,32
"1350",2000,45
"1351",5000,43
"1352",1500,25
"1353",1700,63
"1354",7500,39
"1355",3650,31
"1356",2050,55
"1357",1920,42
"1358",1920,24
"1359",2000,36
"1360",2000,60
"1361",3000,47
"1362",3800,26
"1363",2200,37
"1364",3200,57
"1365",1920,37
"1366",3100,41
"1367",1800,52
"1368",2000,46
"1369",2100,54
"1370",1920,53
"1371",3600,56
"1372",2000,53
"1373",2200,48
"1374",1930,36
"1375",4000,40
"1376",2800,47
"1377",3900,61
"1378",2270,51
"1379",8500,39
"1380",2000,47
"1381",2000,46
"1382",2200,64
"1383",2100,61
"1384",1890,56
"1385",2400,35
"1386",2200,24
"1387",2800,55
"1388",2500,34
"1389",1700,36
"1390",1500,66
"1391",4000,63
"1392",2500,38
"1393",3000,35
"1394",3500,38
"1395",2000,35
"1396",1400,53
"1397",2800,37
"1398",3100,34
"1399",2800,35
"1400",1600,57
"1401",3200,57
"1402",2500,33
"1403",1680,33
"1404",2400,30
"1405",2200,25
"1406",2600,51
"1407",2670,51
"1408",2300,42
"1409",4500,47
"1410",1920,36
"1411",2600,58
"1412",2100,35
"1413",5440,36
"1414",5000,31
"1415",2500,44
"1416",2550,72
"1417",5000,48
"1418",4200,51
"1419",3400,46
"1420",3700,41
"1421",7000,44
"1422",2100,61
"1423",5500,33
"1424",6000,29
"1425",4200,33
"1426",1900,45
"1427",4000,62
"1428",5500,64
"1429",2200,48
"1430",5000,53
"1431",2700,26
"1432",2061,48
"1433",1600,45
"1434",4200,39
"1435",1940,59
"1436",2000,71
"1437",2600,54
"1438",3200,38
"1439",2200,55
"1440",11000,24
"1441",5500,32
"1442",3600,58
"1443",2000,27
"1444",2800,38
"1445",2100,49
"1446",2700,27
"1447",1900,26
"1448",3000,38
"1449",2300,55
"1450",2100,28
"1451",600,19
"1452",1920,56
"1453",3800,35
"1454",5000,54
"1455",2000,31
"1456",3500,55
"1457",2400,25
"1458",5000,30
"1459",2600,22
"1460",2350,52
"1461",2000,30
"1462",2200,40
"1463",2200,35
"1464",2200,46
"1465",2500,40
"1466",2700,52
"1467",1308,64
"1468",2800,62
"1469",3600,56
"1470",2100,41
"1471",6000,31
"1472",3500,30
"1473",2700,37
"1474",2200,27
"1475",2520,62
"1476",1950,38
"1477",2200,49
"1478",246,16
"1479",3000,24
"1480",3000,57
"1481",7000,36
"1482",3800,43
"1483",4000,61
"1484",1003,50
"1485",3500,56
"1486",2600,39
"1487",3500,32
"1488",2600,45
"1489",3360,60
"1490",3000,30
"1491",1500,27
"1492",2000,46
"1493",2000,48
"1494",2500,64
"1495",4000,45
"1496",2100,54
"1497",4000,55
"1498",1740,34
"1499",2000,40
"1500",2000,45
"1501",2700,48
"1502",5100,40
"1503",2500,26
"1504",2000,45
"1505",1800,49
"1506",2400,53
"1507",2200,56
"1508",3200,55
"1509",3600,62
"1510",2800,37
"1511",1710,39
"1512",3500,25
"1513",1800,53
"1514",4500,41
"1515",4500,34
"1516",3000,51
"1517",3600,39
"1518",2000,49
"1519",1920,60
"1520",4300,46
"1521",3500,53
"1522",6000,38
"1523",2400,34
"1524",2500,36
"1525",2500,56
"1526",1600,29
"1527",1800,52
"1528",1900,57
"1529",1921,36
"1530",2400,58
"1531",1700,59
"1532",3000,30
"1533",2800,58
"1534",2300,22
"1535",3500,34
"1536",2450,44
"1537",2400,41
"1538",3800,32
"1539",3400,41
"1540",1900,58
"1541",2400,27
"1542",3900,41
"1543",2600,47
"1544",1980,43
"1545",2500,55
"1546",2000,31
"1547",2800,33
"1548",2500,28
"1549",2500,48
"1550",3700,58
"1551",1980,58
"1552",270,19
"1553",2300,46
